date,time,open,high,low,close,volume
2025.05.05,15:00,143.841,143.889,143.563,143.633,6720
2025.05.05,16:00,143.634,143.727,143.531,143.661,7426
2025.05.05,17:00,143.662,144.007,143.624,143.769,10555
2025.05.05,18:00,143.77,144.0,143.582,143.968,6192
2025.05.05,19:00,143.971,144.232,143.943,144.159,4789
2025.05.05,20:00,144.16,144.171,144.025,144.092,3353
2025.05.05,21:00,144.094,144.133,143.887,143.91,3606
2025.05.05,22:00,143.912,143.924,143.692,143.756,4476
2025.05.05,23:00,143.757,143.789,143.649,143.67,2234
2025.05.06,00:00,143.669,143.716,143.621,143.686,396
2025.05.06,01:00,143.702,143.751,143.62,143.74,1101
2025.05.06,02:00,143.741,143.802,143.55,143.703,1873
2025.05.06,03:00,143.702,144.018,143.681,143.99,5018
2025.05.06,04:00,143.99,144.272,143.934,144.044,5848
2025.05.06,05:00,144.043,144.057,143.64,143.817,4893
2025.05.06,06:00,143.818,143.86,143.719,143.784,3705
2025.05.06,07:00,143.786,143.8,143.613,143.701,2669
2025.05.06,08:00,143.699,143.828,143.686,143.788,2646
2025.05.06,09:00,143.786,143.923,143.635,143.683,4407
2025.05.06,10:00,143.684,143.724,143.195,143.319,8407
2025.05.06,11:00,143.324,143.348,142.895,143.122,7053
2025.05.06,12:00,143.123,143.345,143.056,143.298,5185
2025.05.06,13:00,143.299,143.316,143.041,143.056,4518
2025.05.06,14:00,143.056,143.121,142.742,142.775,5602
2025.05.06,15:00,142.771,142.96,142.483,142.514,6403
2025.05.06,16:00,142.513,142.748,142.345,142.461,8933
2025.05.06,17:00,142.463,142.888,142.398,142.851,9167
2025.05.06,18:00,142.85,142.941,142.744,142.764,5271
2025.05.06,19:00,142.765,143.031,142.654,142.725,6971
2025.05.06,20:00,142.724,142.733,142.503,142.504,5036
2025.05.06,21:00,142.507,142.647,142.424,142.439,4027
2025.05.06,22:00,142.44,142.472,142.348,142.394,4076
2025.05.06,23:00,142.393,142.496,142.372,142.377,3127
2025.05.07,00:00,142.377,142.479,142.294,142.412,622
2025.05.07,01:00,142.418,143.277,142.378,143.236,7786
2025.05.07,02:00,143.232,143.303,142.994,143.08,5773
2025.05.07,03:00,143.088,143.301,142.831,142.948,10009
2025.05.07,04:00,142.953,143.173,142.734,142.947,8342
2025.05.07,05:00,142.948,143.191,142.948,143.123,6400
2025.05.07,06:00,143.121,143.211,143.049,143.106,4328
2025.05.07,07:00,143.104,143.322,143.036,143.271,3444
2025.05.07,08:00,143.272,143.301,142.997,143.047,3941
2025.05.07,09:00,143.048,143.092,142.822,142.86,5742
2025.05.07,10:00,142.865,143.271,142.856,143.163,5916
2025.05.07,11:00,143.165,143.436,143.162,143.313,4918
2025.05.07,12:00,143.314,143.447,143.25,143.309,4655
2025.05.07,13:00,143.308,143.32,143.148,143.244,3223
2025.05.07,14:00,143.243,143.41,143.184,143.383,2731
2025.05.07,15:00,143.379,143.441,143.269,143.351,5137
2025.05.07,16:00,143.351,143.354,143.111,143.203,7052
2025.05.07,17:00,143.201,143.388,143.132,143.301,6302
2025.05.07,18:00,143.297,143.471,143.204,143.47,6375
2025.05.07,19:00,143.47,143.584,143.394,143.408,4667
2025.05.07,20:00,143.407,143.541,143.255,143.367,4223
2025.05.07,21:00,143.342,143.779,142.897,143.513,13567
2025.05.07,22:00,143.513,143.972,143.46,143.807,13747
2025.05.07,23:00,143.806,143.992,143.766,143.797,3461
2025.05.08,00:00,143.784,143.784,143.615,143.758,463
2025.05.08,01:00,143.765,143.909,143.744,143.874,1908
2025.05.08,02:00,143.878,143.88,143.722,143.86,2670
2025.05.08,03:00,143.854,143.952,143.558,143.85,6252
2025.05.08,04:00,143.85,143.894,143.433,143.505,8338
2025.05.08,05:00,143.505,143.675,143.459,143.666,5663
2025.05.08,06:00,143.665,143.672,143.523,143.589,3382
2025.05.08,07:00,143.588,143.781,143.543,143.771,3049
2025.05.08,08:00,143.772,144.066,143.767,143.923,6037
2025.05.08,09:00,143.917,144.428,143.837,144.399,8477
2025.05.08,10:00,144.396,144.514,144.302,144.318,8014
2025.05.08,11:00,144.319,144.846,144.249,144.806,7417
2025.05.08,12:00,144.807,144.948,144.734,144.788,5130
2025.05.08,13:00,144.789,145.001,144.653,144.772,4039
2025.05.08,14:00,144.771,144.809,144.589,144.64,5128
2025.05.08,15:00,144.641,144.859,144.504,144.677,8016
2025.05.08,16:00,144.673,144.673,144.425,144.535,8372
2025.05.08,17:00,144.542,145.115,144.431,145.009,8765
2025.05.08,18:00,145.008,145.589,144.895,145.461,14436
2025.05.08,19:00,145.461,145.782,145.45,145.722,8223
2025.05.08,20:00,145.718,145.943,145.611,145.705,5786
2025.05.08,21:00,145.706,145.924,145.671,145.876,3976
2025.05.08,22:00,145.875,146.173,145.814,145.906,6291
2025.05.08,23:00,145.907,145.964,145.797,145.899,3125
2025.05.09,00:00,145.897,145.924,145.755,145.91,2047
2025.05.09,01:00,145.913,145.936,145.758,145.823,2375
2025.05.09,02:00,145.822,146.065,145.799,145.938,2991
2025.05.09,03:00,145.939,146.185,145.665,145.688,7186
2025.05.09,04:00,145.697,145.831,145.614,145.744,6915
2025.05.09,05:00,145.75,145.967,145.641,145.665,6349
2025.05.09,06:00,145.659,145.707,145.459,145.649,5492
2025.05.09,07:00,145.65,145.652,145.441,145.498,4458
2025.05.09,08:00,145.497,145.626,145.402,145.418,4466
2025.05.09,09:00,145.417,145.455,145.226,145.288,4811
2025.05.09,10:00,145.288,145.41,145.125,145.166,6365
2025.05.09,11:00,145.168,145.323,145.068,145.173,4338
2025.05.09,12:00,145.178,145.323,145.09,145.305,3129
2025.05.09,13:00,145.307,145.4,145.211,145.282,3922
2025.05.09,14:00,145.281,145.325,144.92,145.118,6403
2025.05.09,15:00,145.119,145.348,145.088,145.244,4072
2025.05.09,16:00,145.243,145.294,145.013,145.146,5787
2025.05.09,17:00,145.145,145.265,144.815,144.993,7894
2025.05.09,18:00,144.993,145.199,144.991,145.143,6140
2025.05.09,19:00,145.143,145.292,145.049,145.276,4231
2025.05.09,20:00,145.277,145.35,145.195,145.23,3408
2025.05.09,21:00,145.228,145.306,145.14,145.258,3180
2025.05.09,22:00,145.262,145.364,145.245,145.287,3034
2025.05.09,23:00,145.288,145.374,145.285,145.353,1513
2025.05.12,00:00,146.211,146.23,146.04,146.14,594
2025.05.12,01:00,146.137,146.186,145.759,145.834,4934
2025.05.12,02:00,145.835,145.919,145.692,145.83,4529
2025.05.12,03:00,145.829,146.08,145.725,145.895,7435
2025.05.12,04:00,145.905,146.283,145.835,146.089,7955
2025.05.12,05:00,146.083,146.1,145.715,145.847,4951
2025.05.12,06:00,145.846,145.913,145.718,145.721,3695
2025.05.12,07:00,145.716,145.934,145.711,145.913,2785
2025.05.12,08:00,145.914,146.124,145.881,146.001,3990
2025.05.12,09:00,146.004,146.158,145.862,146.119,6391
2025.05.12,10:00,146.118,147.988,146.096,147.904,18923
2025.05.12,11:00,147.905,148.223,147.616,147.752,14460
2025.05.12,12:00,147.754,148.142,147.659,148.06,8829
2025.05.12,13:00,148.067,148.584,148.038,148.394,10222
2025.05.12,14:00,148.395,148.41,147.858,147.874,9579
2025.05.12,15:00,147.873,148.24,147.87,148.046,7605
2025.05.12,16:00,148.046,148.142,147.799,148.076,10454
2025.05.12,17:00,148.077,148.321,147.966,148.189,10878
2025.05.12,18:00,148.19,148.215,148.017,148.089,8675
2025.05.12,19:00,148.088,148.552,148.042,148.505,5613
2025.05.12,20:00,148.504,148.633,148.468,148.496,5847
2025.05.12,21:00,148.495,148.647,148.273,148.334,4598
2025.05.12,22:00,148.335,148.429,148.263,148.377,4593
2025.05.12,23:00,148.384,148.473,148.351,148.441,2243
2025.05.13,00:00,148.439,148.445,148.231,148.33,594
2025.05.13,01:00,148.338,148.438,148.274,148.364,1912
2025.05.13,02:00,148.365,148.451,148.182,148.247,3105
2025.05.13,03:00,148.245,148.251,147.786,147.81,8002
2025.05.13,04:00,147.81,148.027,147.753,147.833,8515
2025.05.13,05:00,147.831,147.987,147.752,147.955,5006
2025.05.13,06:00,147.956,147.988,147.723,147.749,3981
2025.05.13,07:00,147.749,147.916,147.69,147.694,3876
2025.05.13,08:00,147.693,147.905,147.636,147.813,4581
2025.05.13,09:00,147.814,147.985,147.778,147.931,6866
2025.05.13,10:00,147.941,148.053,147.756,147.843,8673
2025.05.13,11:00,147.846,148.06,147.724,147.916,6330
2025.05.13,12:00,147.917,148.022,147.857,147.973,5046
2025.05.13,13:00,147.974,148.13,147.938,148.053,4384
2025.05.13,14:00,148.053,148.132,148.019,148.107,3184
2025.05.13,15:00,148.11,148.271,147.806,147.986,9260
2025.05.13,16:00,147.986,148.01,147.65,147.875,11527
